systemName,systemId,facilityId,facilityName,facilityLegalName,serviceLineLevel3,plantId,sku,materialUpdatedOn,materialVersion,apiId,apiName,apiStatus,apiUpdatedOn,apiVersion,tradeId,tradeName,tradeStatus,tradeUpdatedOn,tradeVersion,masterMaterialId,masterDescription,materialType,industrySector,materialGroup,baseUOM,batchSize,lotSizeRule,masterStatus,masterUpdatedOn,masterVersion,masterClientId,masterName,addressLine1,addressLine2,addressLine3,city,state,postalCode,country1,country2,masterClientStatus,masterClientUpdatedOn,masterClientVersion,parentClientId,parentName,parentStatus,parentUpdatedOn,parentVersion,erpCustomerId,erpCustomerUpdatedOn,erpCustomerVersion,customerMaterialId,shipToId,shipToName,shipToStreet,shipToCity,shipToState,shipToCountry,shipToZipCode,saleUOM,UoMConversions,START_DATE,END_DATE,ACTIVE,CHANGE,DATE_SENT,ID,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
ERP_EU    ,600,1013,nLMAZ         ,kZGSVLM rGZORZ hKz                ,Steriles         ,10,362986,2021-06-09       ,0,"100,103",alhgvi                                                         ,ACTIVE   ,2020-12-04  ,0,"100,156",alhgzezc    ,ACTIVE     ,2020-12-04    ,0,7000000178,alhgvi 874t/no                                                                   ,HALB        ,P             ,wkilw94      ,ST     ,"167,400  ",EX         ,ACTIVE      ,2023-10-13     ,2,104666,WellnessPharma Plc - Client 2,            ,            ,iFV WV O'rMHGRGFG 10          ,iRCVMHZIG         ,     ,8669       ,yv      ,yvo     ,ACTIVE            ,2020-10-23           ,0,10704,WellnessPharma Plc,ACTIVE      ,2020-10-20     ,0,1003796,2020-12-08          ,0,?                                  ,8996203,tOZCLhNRGSpORMV yRLOLTRXZOH hz     ,"iFV WV r'RMHGRGFG, 10              ",ircvmhzig                          ,89         ,yv           ,8669         ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1013,nLMAZ         ,kZGSVLM rGZORZ hKz                ,Steriles         ,10,363140,2022-10-03       ,0,"100,688",volgfafnzy                                                     ,ACTIVE   ,2022-10-12  ,0,"100,546",vnkorxrgr   ,ACTIVE     ,2022-12-10    ,0,7000001473,vnkorxrgr 599nt erzoh                                                            ,HALB        ,P             ,wkilw94      ,ST     ,0        ,EX         ,ACTIVE      ,2022-10-03     ,0,200143,Super Vitalabs Co - Client 5,            ,            ,sRMGVIYVITHGIZHHV 83          ,hGVRMSZFHVM       ,     ,3687       ,xs      ,xsv     ,ACTIVE            ,2021-07-06           ,0,10307,Super Vitalabs Co,ACTIVE      ,2020-11-05     ,0,1004016,2021-07-06          ,0,?                                  ,8995983,hDLIWH oZYLIZGLIRVH fMORNRGVW xLNKZ,"wFYORM, yLFWIB yIZMXS              ",yLFWIB                             ,mv         ,xs           ,7982         ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415156,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000190,rlnvilm 699 799no fp                                                             ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,700272                             ,864,pfvsmv + mztvo hio xlm fmrxl hlxrl ,hgizwz erxrmzov uizggz h/m olx.kzwf,zmztmr                             ,           ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415117,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000345,rlnvilm 599 899no hk                                                             ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,709578                             ,864,pfvsmv + mztvo hio xlm fmrxl hlxrl ,hgizwz erxrmzov uizggz h/m olx.kzwf,zmztmr                             ,           ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415114,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000282,rlnvilm 649 799no hk                                                             ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,70959A                             ,46,hroezml xsrzkkzilor oltrhgrxz hkz  ,hgizwz kilermxrzov nlilovmhv       ,zmztmr                             ,ui         ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415344,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000263,rlnvilm 649 89c49no mo                                                           ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,70851G                             ,46,hroezml xsrzkkzilor oltrhgrxz hkz  ,hgizwz kilermxrzov nlilovmhv       ,zmztmr                             ,ui         ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415226,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000219,rlnvilm 699 3c499no xs                                                           ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,700575                             ,46,hroezml xsrzkkzilor oltrhgrxz hkz  ,hgizwz kilermxrzov nlilovmhv       ,zmztmr                             ,ui         ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415349,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000322,rlnvilm 649 3c499no mo                                                           ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,700427                             ,864,pfvsmv + mztvo hio xlm fmrxl hlxrl ,hgizwz erxrmzov uizggz h/m olx.kzwf,zmztmr                             ,           ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415220,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000137,rlnvilm 749 89c49no xs                                                           ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,70993C                             ,46,hroezml xsrzkkzilor oltrhgrxz hkz  ,hgizwz kilermxrzov nlilovmhv       ,zmztmr                             ,ui         ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
ERP_EU    ,600,1011,uVIVMGRML     ,kZGSVLM rGZORZ hKz                ,Steriles         ,20,415357,2020-11-20       ,0,"100,040",rlnvkilo                                                       ,ACTIVE   ,2020-10-22  ,0,"100,039",rlnvilm     ,ACTIVE     ,2020-10-22    ,0,5000000131,rlnvilm 749 899no yv                                                             ,FERT        ,P             ,wkilw97      ,ST     ,0        ,EX         ,ACTIVE      ,2020-12-01     ,0,200033,Bio HealthCare Inc - Client 2,            ,            ,eRZ xZWFGR WR nZIXRMVOOV 86   ,nROZML            ,     ,79865      ,rg      ,rgz     ,ACTIVE            ,2020-10-23           ,0,11801,Bio HealthCare Inc,ACTIVE      ,2020-10-20     ,0,206506511,2020-12-08          ,0,702392                             ,46,hroezml xsrzkkzilor oltrhgrxz hkz  ,hgizwz kilermxrzov nlilovmhv       ,zmztmr                             ,ui         ,rg           ,96987        ,?      ,                                                                                           ,"Nov 27, 2023","Dec 31, 9000",Y     ,I     ,"Nov 27, 2023, 11:14:05.745 PM",1,,,,,
